feature,importance,model
PRIMARY_Uranimum_1,0.0,Classification
HIGH_OFFICE_HRS,0.0,Classification
PRIMARY_Perlite_1,0.0,Classification
PRIMARY_Coal_1,0.0,Classification
US_STATE_NJ,0.0,Classification
US_STATE_SC,0.0,Classification
US_STATE_VI,0.0,Classification
TYPE_OF_MINE_Sand & gravel,0.0,Classification
LOG_AVG_EMP_TOTAL,0.0,Classification
AVG_EMP_TOTAL_SQ,0.0,Classification
HIGH_UNDERGROUND,0.0,Classification
LARGE_OPERATION,0.0,Classification
PRIMARY_Alumina_1,0.0,Classification
PRIMARY_Antimony_1,0.0,Classification
PRIMARY_Aplite_1,0.0,Classification
PRIMARY_Beryl_1,0.0,Classification
PRIMARY_Brucite_1,0.0,Classification
PRIMARY_Chromite_1,0.0,Classification
PRIMARY_Feldspar_1,0.0,Classification
PRIMARY_Oil Shale_1,0.0,Classification
PRIMARY_Fluorspar_1,0.0,Classification
PRIMARY_Gilsonite_1,0.0,Classification
PRIMARY_Kyanite_1,0.0,Classification
PRIMARY_Lead and/or Zinc Ore_1,0.0,Classification
PRIMARY_Leonardite_1,0.0,Classification
PRIMARY_Lime_1,0.0,Classification
PRIMARY_Magnesite_1,0.0,Classification
PRIMARY_Manganese_1,0.0,Classification
PRIMARY_Marble_1,0.0,Classification
PRIMARY_Metal Ores_1,0.0,Classification
PRIMARY_Molybdenum_1,0.0,Classification
PRIMARY_Nickel_1,0.0,Classification
PRIMARY_Oil Mining_1,0.0,Classification
PRIMARY_Oil Sand_1,0.0,Classification
PRIMARY_rock_1,0.0,Classification
AVG_EMP_TOTAL,0.41936842,Regression
PCT_HRS_UNDERGROUND,0.026537891,Regression
HRS_PER_EMP,0.024983674,Regression
US_STATE_MS,0.019250179,Regression
PRIMARY_Silver Ore_1,0.018902514,Regression
PRIMARY_Anthracite_1,0.017579759,Regression
PRIMARY_dimension_1,0.016989045,Regression
PRIMARY_Alumina_1,0.012768948,Regression
US_STATE_PA,0.012115533,Regression
US_STATE_TN,0.011176486,Regression
PRIMARY_Shale_1,0.011104655,Regression
PRIMARY_Stone_1,0.010940114,Regression
EMP_X_STRIP,0.010757488,Regression
US_STATE_SD,0.008715917,Regression
SEAM_HEIGHT,0.008701884,Regression
EMP_X_UNDERGROUND,0.008400355,Regression
US_STATE_OK,0.008332112,Regression
US_STATE_OR,0.008192451,Regression
COMMODITY_Stone,0.007871711,Regression
PRIMARY_Gold_1,0.007815372,Regression
PRIMARY_Lead and/or Zinc Ore_1,0.007797424,Regression
US_STATE_MA,0.0077271643,Regression
US_STATE_CO,0.007574952,Regression
COMMODITY_Nonmetal,0.0075393543,Regression
PRIMARY_Sandstone_1,0.0071331435,Regression
US_STATE_UT,0.007098003,Regression
PRIMARY_NEC_1,0.0070587336,Regression
PRIMARY_Traprock_1,0.0069490303,Regression
US_STATE_WA,0.0068548666,Regression
US_STATE_AZ,0.0067514335,Regression
US_STATE_IL,0.006745988,Regression
US_STATE_OH,0.0067139757,Regression
TYPE_OF_MINE_Underground,0.006665755,Regression
EMP_X_OFFICE,0.006623207,Regression
PCT_HRS_STRIP,0.006452835,Regression
PRIMARY_Limestone_1,0.0063929884,Regression
PRIMARY_Coal_1,0.006287292,Regression
US_STATE_AR,0.0060994574,Regression
PRIMARY_Nonmetallic minerals_1,0.006022668,Regression
PRIMARY_Cement_1,0.0057842503,Regression
COMMODITY_Metal,0.005745372,Regression
US_STATE_GA,0.0056395023,Regression
PRIMARY_Sand_1,0.005473051,Regression
COMMODITY_Sand & gravel,0.0053809,Regression
PCT_HRS_MILL_PREP,0.005257851,Regression
